,Title,Authors,id,Document Type,Source,Keywords
130,Abiotic transformation of synthetic progestins in representative soil mineral suspensions,"Li, Yongtao",WOS:000835729900016,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Oxidation
131,Kinetics and capacities of non-reactive phosphorus (NRP) sorption to crushed autoclaved aerated concrete (CAAC),"Lu, Xiwu",WOS:000832269300007,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Wastewater treatment
132,"Triclosan toxicity in a model cyanobacterium (Anabaena flos-aquae): Growth, photosynthesis and transcriptomic response","Guo, Jiahua",WOS:000829122100007,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Antimicrobial toxicity
133,Phenotype and metabolism alterations in PCB-degrading Rhodococcus biphenylivorans TG9(T) under acid stress,"Shen, Chaofeng",WOS:000829121900004,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Mechanism model
134,Toxicity assessment of polyethylene microplastics in combination with a mix of emerging pollutants on Physalaemus cuuieri tadpoles,"Malafaia, Guilherme",WOS:000829121900006,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Biomarkers
135,Abiotic and biotic constituents of oil sands process-affected waters,"Stafford, James L.",WOS:000829122100014,Review,JOURNAL OF ENVIRONMENTAL SCIENCES,Bioremediation
136,Natural siderite derivatives activated peroxydisulfate toward oxidation of organic contaminant: A green soil remediation strategy,"Yu, Jiang",WOS:000829121700002,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Reactive radicals
137,Seasonal variations of microbial community and antibiotic resistome in a suburb drinking water distribution system in a northern Chinese city,"Xie, Shuguang",WOS:000829121700010,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Mobile genetic elements
138,Microbial community structure analyses and cultivable denitrifier isolation of Myriophyllum aquaticum constructed wetland under low C/N ratio,"Zhuang, Xuliang",WOS:000829122100003,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Bacillus velezensis
139,Perfluoroalkyl acid transformation and mitigation by nNiFe-activated carbon nanocomposites in steady-state flow column studies,"Lee, Linda S.",WOS:000829121700007,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Groundwater
140,Repairing of rutin to the toxicity of combined F-53B and chromium pollution on the biofilm formed by Pseudomonas aeruginosa,"Qiao, Weichuan",WOS:000829122100013,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Repair
141,Synergistic Effect of Cetuximab in Combination with Bee Venom: A Novel Approach for the Treatment of Colon Cancer,"Elhakim, Heba K. A.",WOS:000828464500024,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,cell cycle
142,An Overview of Osmosis Study in Living Cells and its Implication in Forwarding Osmosis for Water Treatment Application,"Nikmatin, Siti",WOS:000828464500048,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,desalination
143,Electricity Production and Phenol Removal of Winery Wastewater by Constructed Wetland - Microbial Fuel Cell Integrated With Ethanol Tolerant Yeast,"Chaijak, Pimprapa",WOS:000828464500018,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,microbial fuel cell
144,Removal of Organic and Nitrogen Compounds from Domestic Landfill Leachate by Microalgae,"Yunardi, Yunardi",WOS:000828471200033,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,nitrogen.
145,Medicinal Plants and their Constituents in the Treatment of Acne vulgaris,"Soliman, Fathy",WOS:000828464500029,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,antibiotic resistance
146,Synergistic Therapeutic Effect of L-Carnitine Nanoparticles and Moringa Oleifera Against Doxorubicin Induced Cardiac Toxicity in Male Rats: Biochemical and Histological Study,"Soliman, Fathy",WOS:000828471200049,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,endothelin-1
147,Could Curcumin hydrogel for photodynamic therapy fight against SARS-CoV-2?,"Xu, Chuan-Shan",WOS:000828471200017,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,SARS-CoV-2
148,Promising Therapeutic Efficacy of Trigonella-foenum graecum and Bone Marrow-Derived Mesenchymal Stem Cells on Skeletal Muscle Atrophy in Experimental Rat Model,"Foda, Fatma",WOS:000828471200016,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,molecular investigations
149,Effectiveness of Free and Liposome-Entrapped Antitumoral Drugs against Hepatocellular Carcinoma: A Comparative In vitro Study,"Dias-Souza, Marcus Vinicius",WOS:000828471200041,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,hepatocellular carcinoma
150,"Exogenous Salicylic Acid Modifies Cell Wall Lignification, Total Phenolic Content, PAL-Activity in Wheat (Triticum aestivum L.) and Buckwheat (Fagopyrum esculentum Moench) Plants under Cadmium Chloride Impact","Terek, Olga",WOS:000828471200012,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,cadmium chloride
151,Phosphorus Removal from Aqueous Solution by Using Calcined Waste Chicken Eggshell: Kinetic and Isotherm Model,"Yuan, Ng Shi",WOS:000828471200040,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,pseudo-second-order
152,Docking of Carboplatin towards Chosen Nanostructures,"Czeleti, Przemyslaw",WOS:000828471200042,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,lung cancer treatment
153,Exploring the Potential of Chromones as Inhibitors of Novel Coronavirus Infection Based on Molecular Docking and Molecular Dynamics Simulation Studies,"Sharma, Anil Kumar",WOS:000828471200018,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,inhibitor
154,Integration of Chitosan and Sugar Cane Bagasse as Adsorbent for Remazol Red Dyes Removal,"Yatim, Norhafiza Ilyana",WOS:000828471200004,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,sugarcane
155,Physicochemical Characteristics and Rheological Properties of Soymilk Fermented with Kefir,"Takeuchi, Katiuchia Pereira",WOS:000828471200019,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,soybean
156,Assessment of Oxidative Stress Effects in Serum Determined by FT-IR Spectroscopy in Cholangiocarcinoma Patients,"Guleken, Zozan",WOS:000828464500010,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,total protein
157,Molecular Docking Approach in Screening of Ayurvedic Phytoconstituent Leads Against COVID-19,"Kaliyamoorthi, Kalaichelvan, V",WOS:000828471200036,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,traditional medicine
158,Biofouling and Mitigation Methods: A Review,"Sahiner, Nurettin",WOS:000828464500027,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,non-toxic coatings
159,"Clinical Utility of Small, Dense LDL as an Atherogenic Risk Marker","Prabhakar, Pranav Kumar",WOS:000828464500044,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,CVDs
160,Transcranial Direct Current Stimulation (tDCS) in Pediatric Populations-- Voices from Typically Developing Children and Adolescents and their Parents,"Buyx, Alena",WOS:000879012000001,Article,NEUROETHICS,Pediatric research
161,Advancing Nitinol: From heat treatment to surface functionalization for nickel-titanium (NiTi) instruments in endodontics,"Peters, Ove A.",WOS:000877316400001,Article,BIOACTIVE MATERIALS,Nanostructures
162,Enhancing cartilage repair with optimized supramolecular hydrogel-based scaffold and pulsed electromagnetic field,"Li, Gang",WOS:000877324500001,Article,BIOACTIVE MATERIALS,Chondrogenesis
163,"Films of biopolymers, pectin and gellan, enriched with natamycin and clove essential oils for the packaging of Corn tortilla: Protection against Staphylococcus aureus and Candida parapsilosis","Rodriguez-Hernandez, Adriana-Ines",WOS:000876718400003,Article,FOOD MICROBIOLOGY,Yeast
164,Electrocatalytic reduction of nitrate using Pd-Cu modified carbon nanotube membranes,"Xia, Xue",WOS:000874128100001,Article,FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,Electrocatalytic reduction
165,An enzyme-responsive and transformable PD-L1 blocking peptide-photosensitizer conjugate enables efficient photothermal immunotherapy for breast cancer,"Dai, Wenbing",WOS:000877252300001,Article,BIOACTIVE MATERIALS,Photoimmunotherapy
166,Nanodrugs alleviate acute kidney injury: Manipulate RONS at kidney,"Ai, Kelong",WOS:000875666000001,Review,BIOACTIVE MATERIALS,Renal physiology
167,Evaluating the Effect of Topical Flavonoid Luteolin on Skin Wound Healing in Rabbits,"Taqa, Ghada A.",WOS:000874677200001,Article,EGYPTIAN JOURNAL OF VETERINARY SCIENCE,Rabbits
168,"Challenges to the Diagnosis of Functional Neurological Disorder: Feigning, Intentionality, and Responsibility","Taqa, Ghada A.",WOS:000871054000001,Article,NEUROETHICS,Reactive-attitudes
169,Larvicidal Efficacy of Fifteen Plant Essential Oils against Culex pipiens L. Mosquitoes in Egypt,"Baz, Mohamed M.",WOS:000868422600003,Article,EGYPTIAN JOURNAL OF VETERINARY SCIENCE,Culex pipiens
170,Present and Emerging Ethical Issues with tDCS use: A Summary and Review,"Dubljevic, Veljko",WOS:000869240500001,Review,NEUROETHICS,Public policy
171,Enhanced cyanogen chloride formation after UV/PS and UV/H2O2 pre-oxidation and chlorination in natural river water,"Li, Jing",WOS:000836232900005,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,DBPs
172,Molecular behavior and interactions with microbes during anaerobic degradation of bio-derived DOM in waste leachate,"He, Pinjing",WOS:000836232900016,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Orbitrap
173,Coating zirconium oxide-nanocomposite with humic acid for recovery of mercury and chromium in hazardous waste of chemical oxygen demand test,"Liu, Jingfu",WOS:000836232900004,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Humic acid
174,Insights into the mechanism of the deterioration of mainstream partial nitritation/anammox under low residual ammonium,"Peng, Yongzhen",WOS:000836232900003,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Comammox
175,"Long-term nitrogen and phosphorus removal, shifts of functional bacteria and fate of resistance genes in bioretention systems under sulfamethoxazole stress","Qin, Qingdong",WOS:000836232900001,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Zero-valent iron
176,The determinants of effective defluorination by the LiAl-LDHs,"Wang, Qingwei",WOS:000836232900014,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,DFT
177,Effects of persulfate-assisted hydrothermal treatment of municipal sludge on aqueous phase characteristics and phytotoxicity,"Tan, Wenbing",WOS:000836232900015,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Phytotoxicity
178,Fe(II)-mediated transformation of schwertmannite associated with calcium from acid mine drainage treatment,"Dang, Zhi",WOS:000829121800009,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Transformation
179,Graphitized Cu-beta-cyclodextrin polymer driving an efficient dual-reaction-center Fenton-like process by utilizing electrons of pollutants for water purification,"Li, Tong",WOS:000829121800005,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Pollutants degradation
180,Preparation and characterization of a novel blue-TiO2/PbO2-carbon nanotube electrode and its application for degradation of phenol,"Wang, Xiaohui",WOS:000829121800007,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Phenol
181,"Insights into multisource sludge distributed in the Yangtze River basin, China: Characteristics, correlation, treatment and disposal","Guo, Yali",WOS:000829111400012,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Persistent organic pollutants
182,Effect of catalyzed diesel particulate filter and its catalyst loading on emission characteristics of a non-road diesel engine,"Fang, Liang",WOS:000829110500012,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Geometric mean diameter
183,"Underestimated contribution of fugitive emission to VOCs in pharmaceutical industry based on pollution characteristics, odorous activity and health risk assessment","An, Taicheng",WOS:000829110500005,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Health risk
184,Neutralization of interleukin-11 attenuates silica particles-induced pulmonary inflammation and fibrosis in vivo,"Chen, Weihong",WOS:000829110500010,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Silicosis
185,Stimulants and donors promote megaplasmid pND6-2 horizontal gene transfer in activated sludge,"Yan, Wei",WOS:000829110500007,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Host range
186,"Comparison of mesophilic and thermophilic anaerobic digestions of thermal hydrolysis pretreated swine manure: Process performance, microbial communities and energy balance","Kim, Jae Young",WOS:000829111400005,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Energy balance
187,Comparison of UV-based advanced oxidation processes for the removal of different fractions of NOM from drinking water,"Sun, Shaohua",WOS:000829110800004,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Parallel factor analysis
188,Exploration of the metabolic flexibility of glycogen accumulating organisms through metatranscriptome analysis and metabolic characterization,"Wang, Jingfeng",WOS:000829111400006,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Glyoxylate pathway
189,Enhanced hydrolytic removal of tylosin in wastewater using polymer-based solid acid catalysts converted from polystyrene,"Dou, Xiaomin",WOS:000829111400010,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Antibiotic
190,High capacity adsorption of antimony in biomass-based composite and its consequential utilization as battery anode,"Sun, Hong-bin",WOS:000829111400004,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Li -ion battery
191,"Effect of nitrite on hydrolysis-acidification, biogas production and microbial community in semi-continuous two-phase anaerobic digestion of sewage sludge","Dong, Bin",WOS:000829110800008,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,anaerobic digestion
192,Promotional effect of cobalt doping on catalytic performance of cryptomelane-type manganese oxide in toluene oxidation,"Dai, Hongxing",WOS:000829111400008,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Toluene oxidation
193,Efficient photocatalysis of tetracycline hydrochloride (TC-HCl) from pharmaceutical wastewater using AgCl/ZnO/g-C3N4 composite under visible light: Process and mechanisms,"Yang, Linzhang",WOS:000829111400007,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Degradation pathway
194,A coarse-to-fine segmentation frame for polyp segmentation via deep and classification features,"Li, Ming",WOS:000880040200004,Article,EXPERT SYSTEMS WITH APPLICATIONS,Active contour model
195,Effects of rice vinegar treatment on the antioxidant activities and protein structures of whole egg liquid before and after gastrointestinal digestion,"Chi, Yuan",WOS:000877588700010,Article,FOOD CHEMISTRY,Nonthermal processing
196,Insight into the retardation of retrogradation of chestnut starch by heat-moisture treatment with flavonoids,"Chen, Ling",WOS:000877588600001,Article,FOOD CHEMISTRY,Hydrogen bond interactions
197,Effect of germinated and heat-moisture treated ancient wheat on some quality attributes and bioactive components of noodles,"Bilgicli, Nermin",WOS:000877588600003,Article,FOOD CHEMISTRY,Noodle
198,Acidic electrolyzed water treatment suppresses Phomopsis longanae Chi-induced the decreased storability and quality properties of fresh longans through modulating energy metabolism,"Lin, Hetong",WOS:000877588700003,Article,FOOD CHEMISTRY,Phomopsis longanae Chi
199,Mild blanching prior to pH-shift processing of Saccharina latissima retains protein extraction yields and amino acid levels of extracts while minimizing iodine content,"Undeland, Ingrid",WOS:000877588700011,Article,FOOD CHEMISTRY,Proximate composition
200,Forecasting technical debt evolution in software systems: an empirical study,"Montano, Debora",WOS:000880324200002,Article,FRONTIERS OF COMPUTER SCIENCE,machine learning
201,Neurons on amoebae,"Hirst, Edward",WOS:000861082900001,Article,JOURNAL OF SYMBOLIC COMPUTATION,Machine learning
202,State-of-the-art applications of machine learning in the life cycle of solid waste management,"Chen, Guanyi",WOS:000878684300003,Review,FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,Life cycle
203,"ROS-Industrial based robotic cell for Industry 4.0: Eye-in-hand stereo camera and visual servoing for flexible, fast, and accurate picking and hooking in the line","Tripiccho, Paolo",WOS:000870322900001,Article,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,0
204,Deep learning based online metallic surface defect detection method for wire and arc additive manufacturing,"Li, Runsheng",WOS:000869978400003,Article,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,Deep learning
205,Accelerating local SGD for non-IID data using variance reduction,"Pan, Zhen",WOS:000838089900003,Article,FRONTIERS OF COMPUTER SCIENCE,non-IID data
206,Molecular behavior and interactions with microbes during anaerobic degradation of bio-derived DOM in waste leachate,"He, Pinjing",WOS:000836232900016,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Orbitrap
207,SUDF-RS: A new foreign exchange rate prediction method considering the complementarity of supervised and unsupervised deep representation features,"Zhu, Hegong",WOS:000880040200006,Article,EXPERT SYSTEMS WITH APPLICATIONS,Random Forest
208,A learning-based crack defect detection and 3D localization framework for automated fluorescent,"Hu, Zeqi",WOS:000880040200005,Article,EXPERT SYSTEMS WITH APPLICATIONS,CNN
209,Statistical discrimination using different machine learning models reveals dissimilar key compounds of soybean leaves in targeted polyphenol-metric metabolomics in terms of traits and cultivation,"Kim, Dae-Ok",WOS:000874029800006,Article,FOOD CHEMISTRY,Targeted metabolomics
210,A rapid selection strategy for umami peptide screening based on machine learning and molecular docking,"Zhao, Yufen",WOS:000873913600008,Article,FOOD CHEMISTRY,Lamb bone
211,Explainable machine learning-assisted origin identification: Chemical profiling of five lotus (Nelumbo nucifera Gaertn.) parts,"Zhao, Yan",WOS:000873806300001,Article,FOOD CHEMISTRY,Explainable machine learning
212,Smartphone image analysis-based fluorescence detection of tetracycline using machine learning,"Ganjali, Mohammad Reza",WOS:000876667500001,Article,FOOD CHEMISTRY,Bimetallic nanoclusters
213,Bagging Supervised Autoencoder Classifier for credit scoring,"Shahrabi, Jamal",WOS:000878295700009,Article,EXPERT SYSTEMS WITH APPLICATIONS,Credit scoring
214,Prediction of pipe failures in water supply networks for longer time periods through multi-label classification,"De Baets, Bernard",WOS:000878295700010,Article,EXPERT SYSTEMS WITH APPLICATIONS,Machine learning
215,Learning-based systems for assessing hazard places of contagious diseases and diagnosing patient possibility,"Ghaffari, Mohsen",WOS:000878295700003,Article,EXPERT SYSTEMS WITH APPLICATIONS,Trajectory clustering
216,Imbalance example-dependent cost classification: A Bayesian based method,"Figueiras-Vidal, Anibal R.",WOS:000878295700013,Article,EXPERT SYSTEMS WITH APPLICATIONS,Neural networks
217,Multi-view and Multi-level network for fault diagnosis accommodating feature transferability,"Yin, Tao",WOS:000877842900007,Article,EXPERT SYSTEMS WITH APPLICATIONS,Few shot learning
218,Forecasting and trading credit default swap indices using a deep learning model integrating Merton and LSTMs,"Wang, Haidong",WOS:000877842700010,Article,EXPERT SYSTEMS WITH APPLICATIONS,Deep learning
219,A graph structure feature-based framework for the pattern recognition of the operational states of integrated energy systems,"Zhang, Jinjun",WOS:000877842700004,Article,EXPERT SYSTEMS WITH APPLICATIONS,Time-graphlets
220,Early prediction of learners at risk in self-paced education: A neural network approach,"Gasevic, Dragan",WOS:000870832500004,Article,EXPERT SYSTEMS WITH APPLICATIONS,Virtual learning environment (VLE)
221,Quod erat demonstrandum?- Towards a typology of the concept of explanation for the design of explainable AI,"Holzinger, Andreas",WOS:000870832500002,Article,EXPERT SYSTEMS WITH APPLICATIONS,Machine learning
222,On the combination of graph data for assessing thin-file borrowers' creditworthiness,"Grana, Manuel",WOS:000870841400001,Article,EXPERT SYSTEMS WITH APPLICATIONS,Graph neural networks
223,New insight into the evolution of volatile profiles in four vegetable oils with different saturations during thermal processing by integrated volatolomics and lipidomics analysis,"Chen, Ying",WOS:000873123700004,Article,FOOD CHEMISTRY,Machine learning
224,An efficient method for autoencoder based outlier detection,"Patra, Bidyut Kr.",WOS:000874658100009,Article,EXPERT SYSTEMS WITH APPLICATIONS,Boosting-based autoencoder ensemble (BAE)
225,e-LION: Data integration semantic model to enhance predictive analytics in e-Learning,"Garcia-Nieto, Jose",WOS:000874658100001,Article,EXPERT SYSTEMS WITH APPLICATIONS,Knowledge graph
226,A real-time fingerprint-based indoor positioning using deep learning and preceding states,"Ghorashi, Seyed Ali",WOS:000874658100005,Article,EXPERT SYSTEMS WITH APPLICATIONS,Deep learning
227,How to capture tourists' search behavior in tourism forecasts? A two-stage feature selection approach,"Zhang, Chengyuan",WOS:000874658100003,Article,EXPERT SYSTEMS WITH APPLICATIONS,Kernel extreme learning machine
228,A survey on machine learning for recurring concept drifting data streams,"Cervantes, Alejandro",WOS:000874659200003,Review,EXPERT SYSTEMS WITH APPLICATIONS,Meta learning
229,Gene reduction and machine learning algorithms for cancer classification based on microarray gene expression data: A comprehensive review,"Ali, Abdelmgeid A.",WOS:000874659200006,Review,EXPERT SYSTEMS WITH APPLICATIONS,Cancer classification
230,HRDEL: High ranking deep ensemble learning-based lung cancer diagnosis model,"Tiwari, Rajeev",WOS:000874659200008,Article,EXPERT SYSTEMS WITH APPLICATIONS,Recurrent neural network
231,Antenna contactless partial discharges detection in covered conductors using ensemble stacking neural networks,"Dvorsky, Jiri",WOS:000874659200002,Article,EXPERT SYSTEMS WITH APPLICATIONS,Covered conductor
232,"A literature embedding model for cardiovascular disease prediction using risk factors, symptoms, and genotype information","Chon, Ki H.",WOS:000874657300004,Article,EXPERT SYSTEMS WITH APPLICATIONS,Information retrieval
233,Identifying patients with paroxysmal atrial fibrillation from sinus rhythm ECG using random forests,"Vassilikos, Vassilios",WOS:000874657300001,Article,EXPERT SYSTEMS WITH APPLICATIONS,Classification
234,Generative adversarial networks for extrapolation of corrosion in automobile images,"Viana, Felipe A. C.",WOS:000870832500006,Article,EXPERT SYSTEMS WITH APPLICATIONS,Augmented reality applications
235,Real-time detection of crop rows in maize fields based on autonomous extraction of ROI,"Chen, Liqing",WOS:000870871000003,Article,EXPERT SYSTEMS WITH APPLICATIONS,Navigation
236,Nondestructive determination of common indicators of beef for freshness assessment using airflow-three dimensional (3D) machine vision technique and machine learning,"Tang, Xiuying",WOS:000869096200004,Article,JOURNAL OF FOOD ENGINEERING,Beef
237,Composition-based statistical model for predicting CO2 solubility in modified atmosphere packaging application,"Buche, Patrice",WOS:000870522700001,Article,JOURNAL OF FOOD ENGINEERING,CO2 headspace dynamic
238,ADAPTIVE6G: Adaptive Resource Management for Network Slicing Architectures in Current 5G and Future 6G Systems,"Beard, Cory",WOS:000869256800001,Article,JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT,Transfer learning
239,An improved PIO feature selection algorithm for IoT network intrusion detection system based on ensemble learning,"Adwan, Omar",WOS:000867537300014,Article,EXPERT SYSTEMS WITH APPLICATIONS,PIO
240,The automation of the development of classification models and improvement of model quality using feature engineering techniques,"Blokland, Marco",WOS:000867490400008,Article,EXPERT SYSTEMS WITH APPLICATIONS,Data balancing
241,Interpretable stock price forecasting model using genetic algorithm-machine learning regressions and best feature subset selection,"Won, Daehan",WOS:000867490400011,Article,EXPERT SYSTEMS WITH APPLICATIONS,Genetic algorithm feature selection
242,DC-DC Buck circuit fault diagnosis with insufficient state data based on deep model and transfer strategy,"Cai, Yongyi",WOS:000867522400006,Article,EXPERT SYSTEMS WITH APPLICATIONS,Transfer learning
243,Dynamic noise filtering for multi-class classification of beehive audio data,"Horvath, Tomas",WOS:000867522400001,Article,EXPERT SYSTEMS WITH APPLICATIONS,Apiculture
244,Detection and quantification of temperature sensor drift using probabilistic neural networks,"Glisic, Branko",WOS:000867522400004,Article,EXPERT SYSTEMS WITH APPLICATIONS,Anomaly detection
245,Uncertainty-aware non-autoregressive neural machine translation,"Yu, Jingqi",WOS:000864656900001,Article,COMPUTER SPEECH AND LANGUAGE,Monte Carlo dropout
246,Tamil Handwritten Character Recognition System using Statistical Algorithmic Approaches,"Shyni, S. M.",WOS:000864656900005,Article,COMPUTER SPEECH AND LANGUAGE,Shape prediction
247,Speech recognition using Taylor-gradient Descent political optimization based Deep residual network,"Marimuthu, Ramalatha",WOS:000864656900003,Article,COMPUTER SPEECH AND LANGUAGE,Spectral centroid
248,Network Intrusion Detection System Based on an Adversarial Auto-Encoder with Few Labeled Training Samples,"Marimuthu, Ramalatha",WOS:000865074100002,Article,JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT,Semi-supervised learning
249,Cyber Threat Intelligence Sharing Scheme Based on Federated Learning for Network Intrusion Detection,"Portmann, Marius",WOS:000865074100004,Article,JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT,Network intrusion detection
250,VAE-Based Latent Representations Learning for Botnet Detection in IoT Networks,"Youssef, Habib",WOS:000865074100001,Article,JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT,Latent representations learning
251,GHz Rate Neuromorphic Photonic Spiking Neural Network With a Single Vertical-Cavity Surface-Emitting Laser (VCSEL),"Hurtado, Antonio",WOS:000864564000002,Article,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,photonic reservoir computing
252,Adversarial Attacks on an Optical Neural Network,"Xiang, Shuiying",WOS:000862846400001,Article,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,machine learning
253,Securing social platform from misinformation using deep learning,"Li, Kuan-Ching",WOS:000860712200002,Article,COMPUTER STANDARDS & INTERFACES,LSTM
254,Machine Learning for heat radiation modeling of bi- and polydisperse particle systems including walls,"Radl, Stefan",WOS:000830029400001,Article,PARTICUOLOGY,Polydisperse particles
255,Biomedical Question Answering: A Survey of Approaches and Challenges,"Yu, Sheng",WOS:000778458900012,Article,ACM COMPUTING SURVEYS,biomedicine
256,Tackling Climate Change with Machine Learning,"Bengio, Yoshua",WOS:000778458900019,Article,ACM COMPUTING SURVEYS,artificial intelligence
257,A Comprehensive Report on Machine Learning-based Early Detection of Alzheimer's Disease using Multi-modal Neuroimaging Data,"Mandal, Pravat Kumar",WOS:000778458900020,Article,ACM COMPUTING SURVEYS,feature fusion
258,Level-5 Autonomous Driving-Are We There Yet? A Review of Research Literature,"Ignatious, Henry",WOS:000778458900004,Review,ACM COMPUTING SURVEYS,platooning
259,Trustworthy Artificial Intelligence: A Review,"Durresi, Arjan",WOS:000778458900016,Review,ACM COMPUTING SURVEYS,acceptance
260,"Electrochemical investigation of edible oils: Experimentation, electrical signatures, and a supervised learning-case study of adulterated peanut oils","Elejalde, Untzizu",WOS:000872527700007,Article,FOOD CHEMISTRY,Machine learning
261,"Prediction of the freshness of horse mackerel (Trachurus japonicus) using E-nose, E-tongue, and colorimeter based on biochemical indexes analyzed during frozen storage of whole fish","Li, Jianrong",WOS:000872526100001,Article,FOOD CHEMISTRY,Machine learning techniques
262,Leak detection in water distribution systems by classifying vibration signals,"Ye, Miaomiao",WOS:000874550300002,Article,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,Water distribution system
263,Fleet-based early fault detection of wind turbine gearboxes using-informed based on coherence,"Helsen, Jan",WOS:000862539100002,Article,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,Vibration signals
264,A comprehensive evaluation of liposome/water partition coefficient prediction models based on the Technique for Order Preference by Similarity to an Ideal Solution (TOPSIS) method: Challenges from different descriptor dimension reduction methods and machine learning algorithms,"Tao, Tianyun",WOS:000876532600002,Article,JOURNAL OF HAZARDOUS MATERIALS,Comprehensive evaluation method
265,"Altered EEG power spectrum, but not sleep-wake architecture, in HCN1 knockout mice","Jacobson, Laura H.",WOS:000876879100009,Article,BEHAVIOURAL BRAIN RESEARCH,EEG power spectrum
266,Laminar Flame Speed modeling for Low Carbon Fuels using methods of Machine Learning,"Shahbakhti, Mahdi",WOS:000878505300005,Article,FUEL,Machine Learning
267,Koopman-Based Spectral Clustering of Directed and Time-Evolving Graphs,"Conrad, Natasa Djurdjevac",WOS:000879772800001,Article,JOURNAL OF NONLINEAR SCIENCE,Coherent sets
268,Investigation of factors affecting performance of a downdraft fixed bed gasifier using optimized MLP neural networks approach,"Rezaei, Mahdi",WOS:000878606700003,Article,FUEL,Syngas
269,Application of machine learning in carbon capture and storage: An in-depth insight from the perspective of geoscience,"Xu, Tianfu",WOS:000878716900001,Article,FUEL,Geological sequestration
270,Graph attention network for global search of atomic clusters: A case study of Ag-n (n=14-26) clusters,"Zhao, Jijun",WOS:000879167800002,Article,FRONTIERS OF PHYSICS,global search
